time,s_x,s_v,a_u
0.0,0.0,1.0,0.0
0.02531645569620253,0.025313751466707928,0.9996795556510505,0.005061127963619942
0.05063291139240506,0.050611279636199415,0.9987184279733635,0.010109283527197078
0.0759493670886076,0.07587637160858586,0.9971172329428049,0.015131527540818627
0.10126582278481013,0.10109283527197077,0.9948769967471729,0.02011498726960699
0.12658227848101267,0.1262445096797913,0.9919991551285259,0.025046889388393598
0.1518987341772152,0.15131527540818626,0.9884855524630316,0.029914592721591356
0.17721518987341772,0.17628906488675264,0.9843384405789273,0.034705620644348685
0.20253164556962025,0.20114987269606988,0.9795604773133484,0.0394076930619363
0.22784810126582278,0.2258817658253924,0.9741547248089507,0.044008757885399
0.25316455696202533,0.25046889388393595,0.9681246475514181,0.04849702192279581
0.27848101265822783,0.274895499259214,0.9614741101491123,0.05286098110684976
0.3037974683544304,0.29914592721591354,0.9542073748562895,0.05708944998152951
0.3291139240506329,0.32320463592883786,0.9463290988414693,0.061171590371984455
0.35443037974683544,0.34705620644348684,0.9378443312027086,0.06509693916434821
0.37974683544303794,0.3706853525578904,0.9287585097316915,0.0688554351242066
0.4050632911392405,0.39407693061936294,0.9190774574287097,0.07243744468499085
0.43037974683544306,0.41721594922989885,0.9088073787707681,0.07583378664019647
0.45569620253164556,0.44008757885398997,0.8979548557352052,0.07903575567613808
0.4810126582278481,0.4626771613227079,0.8865268435813779,0.08203514468492246
0.5063291139240507,0.48497021922795813,0.8745306663931153,0.08482426580044829
0.5316455696202531,0.5069524652008874,0.8619740123847952,0.08739597010351445
0.5569620253164557,0.5286098110684976,0.848864928974055,0.08974366594552975
0.5822784810126582,0.5499283768825953,0.8352118176242924,0.09186133584385786
0.6075949367088608,0.570894499815295,0.8210234284602627,0.09374355190549206
0.6329113924050633,0.5914947429153704,0.8063088546602225,0.09538548973952703
0.6582278481012658,0.6117159037198445,0.7910775266282147,0.09678294082276756
0.6835443037974683,0.6315450227152997,0.775339205950229,0.09793232328677996
0.7088607594936709,0.6509693916434821,0.7591039791381117,0.09883069109873664
0.7341772151898734,0.6699765616458822,0.7423822511652346,0.09947574161252272
0.7594936708860759,0.6885543512420659,0.725184738798065,0.09986582147074974
0.7848101265822784,0.7066908541366496,0.7075224637279107,0.09999993084254877
0.810126582278481,0.7243744468499084,0.6894067455072436,0.09987772598628103
0.8354430379746836,0.7415937961671342,0.6708491942951255,0.0994995201305971
0.8607594936708861,0.7583378664019645,0.6518617034163889,0.09886628267158692
0.8860759493670886,0.7745959264690289,0.6324564417393398,0.09797963668807785
0.9113924050632911,0.7903575567613806,0.6126458458768663,0.09684185478144988
0.9367088607594937,0.805612655828305,0.5924426122159555,0.09545585325063091
